"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
20513,139,140,12727,7786,5.86999e+18,71.1027,1332.75,20513,71,73,20373,20373,20232,20263,20298
36077,64,273,22409,13668,5.87511e+18,173.675,2211.7,36077,129,127,34181,32572,10517,13603,11839
82256,119,342,51346,30910,5.88479e+18,194.097,4078.56,82256,186,195,79593,75896,44311,45936,39720
97037,80,293,59940,37097,5.87047e+18,194.051,3279.56,97037,121,126,95697,94645,26663,36777,26413
75938,60,328,47080,28858,5.87809e+18,188.866,3625.56,75938,166,175,70667,65989,20000,27393,21626
13683,79,149,8393,5290,5.86983e+18,82.0427,1030,13683,66,72,13468,13325,8288,7790,9920
53475,280,314,32989,20486,5.87114e+18,149.985,2616.89,53475,102,105,53161,53146,52998,53030,52886
95351,245,352,58749,36602,5.87036e+18,174.893,3504.16,95351,121,121,94999,94804,78464,84756,81842
10508,131,214,6445,4063,5.86945e+18,97.9492,1011.72,10508,72,75,10294,10219,7012,6710,5505
83065,264,279,51317,31748,5.86998e+18,152.751,3182.75,83065,109,114,82786,82759,81645,82224,78644
17709,117,142,10963,6746,5.87029e+18,96.098,1194.02,17709,67,71,17565,17506,15769,16623,17178
56160,84,290,34729,21431,5.8711e+18,164.823,2579.09,56160,112,120,55147,54266,17695,24337,23067
76911,253,288,47443,29468,5.8701e+18,135.738,2935.08,76911,105,106,76623,76619,74961,75969,75419
42404,166,287,26586,15818,5.89194e+18,214.072,2785.94,42404,180,175,41680,40798,25343,23856,22505
25668,209,260,16020,9648,5.88696e+18,220.057,2065.53,25668,143,148,25345,25154,20629,21710,20198
13963,10,212,8593,5370,5.86915e+18,82.811,1138.05,13963,73,76,7551,5206,1484,1967,1656
28057,181,195,17324,10733,5.86949e+18,110.672,1654.93,28057,79,84,27862,27856,26815,27522,27394
25591,10,282,16048,9543,5.89205e+18,201.527,2193.02,25591,155,153,10705,5633,1270,2104,952
1842,67,71,1129,713,5.86578e+18,56.6287,320.32,1842,47,46,1771,1765,1745,1758,1756
8797,151,224,5434,3363,5.87206e+18,97.3718,1000.33,8797,77,79,8554,8501,6445,6777,6751
28400,201,219,17566,10834,5.87047e+18,165.529,1636.61,28400,92,94,28172,28097,25806,27084,27139
39792,199,260,24637,15155,5.87723e+18,201.597,2328.37,39792,149,139,39430,39113,32312,35170,34007
35036,271,274,21646,13390,5.87474e+18,195.852,2188.8,35036,124,126,34762,34758,34628,34706,34474
91017,141,228,56115,34902,5.86981e+18,140.466,3043.08,91017,98,101,90755,90530,67814,67461,74496
73653,249,342,45458,28195,5.87046e+18,141.813,3130.32,73653,115,111,73311,73196,66684,68899,67083
50251,75,237,31051,19200,5.8702e+18,121.928,2198.89,50251,91,100,49576,49155,16196,21454,24603
16706,133,203,10328,6378,5.86894e+18,108.592,1411.71,16706,79,81,16503,16428,14131,13802,13780
70406,296,317,44113,26293,5.88947e+18,207.962,3686.24,70406,192,198,70089,70074,66312,68521,67525
19572,161,216,12095,7477,5.87028e+18,106.268,1352.82,19572,79,78,19356,19278,17846,18305,18771
76091,274,275,46893,29198,5.87657e+18,218.746,3183.18,76091,164,167,75816,75799,75806,75807,75816
2456,53,126,1504,952,5.86916e+18,49.8575,466.357,2456,48,51,2313,2227,1341,1391,1242
67436,112,314,41642,25794,5.87194e+18,199.309,3071.16,67436,129,123,66596,65733,32813,31130,33308
51204,236,264,31457,19747,5.87165e+18,176.667,2340.03,51204,119,123,50940,50878,45324,48521,47525
3165,31,212,1975,1190,5.88463e+18,113.147,691.45,3165,71,64,2311,1734,579,932,955
15690,159,217,9704,5986,5.87103e+18,96.2677,1235.01,15690,77,79,15473,15436,12830,14119,12797
62219,219,298,38413,23806,5.87084e+18,150.095,2752.94,62219,109,112,61899,61768,56927,59325,56018
94329,25,426,58919,35410,5.88488e+18,213.187,4752.2,94329,199,207,66002,42034,11493,18189,7301
48417,183,194,29896,18521,5.86977e+18,102.587,2263.45,48417,86,86,48223,48219,48012,48112,48129
46284,18,182,28606,17678,5.86976e+18,115.313,2133.03,46284,82,85,32862,20769,5901,7839,6096
83388,151,296,51556,31832,5.87065e+18,150.645,3092.31,83388,117,125,82935,82624,49815,46288,47428
7644,195,227,4726,2918,5.87467e+18,96.9793,965.218,7644,75,75,7417,7404,6450,7000,6592
29869,276,282,18747,11122,5.89165e+18,206.492,2327.11,29869,163,154,29587,29575,29574,29575,29427
75531,258,381,46745,28786,5.87095e+18,172.489,3304.99,75531,130,135,75150,75035,55775,59737,55851
13766,11,169,8479,5287,5.87068e+18,75.2463,1092.01,13766,75,75,7308,4599,1497,1652,1681
77645,73,268,48075,29570,5.87171e+18,194.975,2907.7,77645,131,141,75724,74309,18417,29031,29059
7057,2,184,4337,2720,5.86856e+18,84.057,795.009,7057,62,62,650,0,92,0,57
38184,105,284,23775,14409,5.88343e+18,200.324,2543.98,38184,152,158,36489,34720,18445,19431,17748
21763,139,270,13460,8303,5.87579e+18,129.375,1779.31,21763,112,112,21327,21013,16561,16749,16155
48524,115,264,30048,18476,5.87218e+18,193.949,2349.2,48524,124,127,47766,46994,23180,22313,24007
4957,101,114,3059,1898,5.86827e+18,51.975,598.613,4957,52,55,4843,4843,4636,4760,4760
34549,65,260,21644,12905,5.89034e+18,220.705,2411.49,34549,168,168,30052,25590,7293,11240,10433
62585,220,326,38857,23728,5.87888e+18,173.833,3361.86,62585,160,169,62209,62002,50938,51218,47428
41714,146,180,25662,16052,5.86963e+18,115.86,1993.96,41714,84,85,41534,41488,39913,40724,39924
48318,115,260,29775,18543,5.87239e+18,208.526,2379.32,48318,129,128,47432,46496,23185,23040,22475
35945,281,303,22567,13378,5.89307e+18,181.69,2698.59,35945,165,170,35642,35617,34273,34956,34217
26480,211,258,16270,10210,5.87288e+18,138.962,1728.43,26480,99,97,26212,26123,23079,24723,23258
15282,160,238,9529,5753,5.88554e+18,161.931,1518.12,15282,127,115,14912,14633,11112,11333,11182
27621,123,162,17102,10519,5.86976e+18,107.378,1504.89,27621,73,83,27451,27334,22822,23537,25221
42502,194,290,26281,16221,5.87179e+18,163.619,2294.67,42502,108,113,42179,42012,30333,30285,28695
75102,197,271,46809,28293,5.88538e+18,226.117,3482.84,75102,200,190,74536,73755,57582,62436,61779
80359,138,267,49745,30614,5.87101e+18,181.938,2904.65,80359,129,134,79733,79109,45668,42055,50041
72989,120,216,45011,27978,5.87009e+18,120.943,2752.91,72989,91,95,72703,72483,50065,45648,46316
35582,26,253,22015,13567,5.87141e+18,168.653,1927.09,35582,105,103,30260,24492,4094,8690,3126
26810,68,258,16665,10145,5.87718e+18,187.79,1909.89,26810,124,127,25112,23582,7137,10658,9062
24786,230,254,15249,9537,5.87127e+18,169.858,1658.43,24786,92,100,24532,24496,24172,24390,24241
68363,45,279,42247,26116,5.87036e+18,150.436,2861.72,68363,99,107,65010,61036,13749,21503,16238
35216,268,301,21758,13458,5.87554e+18,171.601,2325.74,35216,131,129,34915,34888,30894,33127,32529
11180,49,128,6876,4304,5.869e+18,66.3676,958.701,11180,63,63,10886,10537,5190,5329,4541
92584,194,216,57143,35441,5.87006e+18,133.451,3108.38,92584,93,100,92368,92350,86618,89767,89659
57433,218,280,35775,21658,5.88108e+18,197.551,2976.27,57433,170,169,57092,56857,47240,51820,47379
51747,109,342,31908,19839,5.87042e+18,160.088,2707.08,51747,113,108,51079,50610,27732,25750,27089
51685,214,266,31812,19873,5.87117e+18,162.486,2344.41,51685,108,119,51406,51258,43942,48153,45622
82535,73,381,51043,31492,5.87062e+18,155.857,3497.87,82535,126,119,81011,79683,36158,38795,39035
12924,88,154,7974,4950,5.86777e+18,64.9458,1086.51,12924,69,70,12770,12744,9043,8485,7446
75795,263,272,47189,28606,5.88371e+18,223.786,3470.78,75795,193,192,75523,75523,74846,75306,74880
76246,97,316,46914,29332,5.87188e+18,188.698,3137.63,76246,123,126,75322,74434,37632,36000,40983
83589,189,225,51594,31995,5.87009e+18,130.756,3020,83589,90,92,83364,83346,80616,81813,82572
50893,25,257,31425,19468,5.8703e+18,150.957,2534.64,50893,101,100,40203,28518,7638,10214,7273
95438,94,279,58645,36793,5.87104e+18,165.218,3188.68,95438,127,132,94300,93156,37521,40837,46739
3493,5,187,2164,1329,5.86982e+18,80.438,643.313,3493,56,62,923,0,21,165,110
57401,59,286,35641,21760,5.88031e+18,206.244,3006.97,57401,169,177,52344,48154,13703,20294,15873
35123,245,287,22116,13007,5.89781e+18,211.234,2522.14,35123,173,174,34836,34804,30189,31930,30708
80395,62,274,49493,30902,5.87054e+18,161.504,2884.14,80395,121,126,78462,77121,18789,28059,26817
20453,15,218,12580,7873,5.86983e+18,110.167,1379.57,20453,79,83,14127,8565,2676,3833,2607
80484,38,277,50130,30354,5.8789e+18,228.771,3450.24,80484,187,179,69408,59677,11844,19974,13010
9493,206,249,5900,3593,5.87762e+18,147.565,1201.55,9493,97,90,9244,9168,8469,8603,8456
26622,59,174,16447,10175,5.86964e+18,81.486,1641.59,26622,79,78,26145,25510,12261,12830,14843
98902,115,227,61059,37843,5.86996e+18,146.392,3259.24,98902,97,102,98533,98218,58947,54360,56788
7247,154,210,4462,2785,5.87177e+18,92.8743,859.874,7247,68,68,7037,7000,5649,6256,5044
62805,88,219,38847,23958,5.8701e+18,133.02,2614.4,62805,88,90,62412,62261,33576,33007,35984
19519,172,245,12271,7248,5.89151e+18,177.572,1793.27,19519,139,139,19137,18776,13526,14086,13377
14322,4,80,8908,5414,5.86992e+18,69.4742,912.162,14322,68,71,3255,0,4,479,632
29710,139,261,18539,11171,5.88251e+18,208.477,2110.21,29710,149,140,28899,28074,17536,15704,19233
75888,157,352,46745,29143,5.87022e+18,170.601,3122.75,75888,113,118,75429,75131,41165,39364,52616
98387,106,276,60724,37663,5.87381e+18,229.368,3546.8,98387,173,165,96210,93890,42173,42850,37951
93380,193,411,57787,35593,5.87889e+18,236.691,4326.95,93380,187,194,92591,91888,51731,50676,41956
32360,150,257,19893,12467,5.87216e+18,170.151,1896.53,32360,99,107,31974,31757,23495,24228,25684
75336,146,258,46433,28903,5.87033e+18,144.142,2803.82,75336,102,110,75041,74810,59812,61363,67280
3534,73,111,2167,1367,5.86959e+18,60.5546,495.675,3534,49,51,3416,3383,2797,2844,3033
57607,238,381,35661,21946,5.87132e+18,172.762,2941.4,57607,123,128,57224,57100,41447,37866,40363
24232,250,342,14915,9317,5.87072e+18,137.344,1831.73,24232,89,97,23890,23801,19074,20894,17607
73080,338,352,45022,28058,5.87042e+18,168.365,3003.25,73080,109,116,72728,72728,72719,72717,72669
73847,341,411,45755,28092,5.8734e+18,165.654,3726.03,73847,136,130,73436,73390,71978,72074,70842
6541,49,218,4053,2488,5.87832e+18,101.57,882.848,6541,78,76,5878,5455,1694,2509,2539
16288,19,247,10128,6160,5.87039e+18,109.876,1458.94,16288,85,91,11073,7040,2361,2966,2239
93121,132,271,57411,35710,5.87011e+18,150.252,3112.49,93121,110,113,92736,92409,58881,61487,71644
56256,72,215,34686,21570,5.87008e+18,122.226,2436.65,56256,89,93,55671,55175,26100,27237,29278
73843,79,229,45481,28362,5.87003e+18,129.848,2706.79,73843,99,102,73116,72601,32252,32643,41726
59994,43,315,37059,22935,5.8735e+18,157.943,2977.01,59994,134,134,55459,50307,12177,18837,15407
81058,212,274,50189,30869,5.87223e+18,201.851,3035.28,81058,142,145,80714,80417,66202,73613,67941
48377,127,211,29875,18502,5.86979e+18,128.47,2196.49,48377,87,91,48134,47953,36357,39294,37878
72818,41,328,45193,27625,5.87721e+18,177.568,3550.78,72818,156,165,64973,56334,13437,21189,13683
28806,200,220,17812,10994,5.87007e+18,122.868,1638.26,28806,86,90,28586,28573,25821,27417,27665
16627,157,187,10225,6402,5.87052e+18,107.458,1287.33,16627,73,79,16440,16406,14206,15462,14315
19964,120,177,12338,7626,5.87008e+18,83.9176,1385.84,19964,70,74,19787,19737,14043,14758,13495
38699,105,182,23879,14820,5.86986e+18,118.956,1952.32,38699,81,83,38464,38303,25894,25068,27131
38660,232,269,24018,14642,5.87531e+18,165.224,2268.32,38660,130,129,38381,38328,33073,36156,33849
93057,154,271,57562,35495,5.87002e+18,186.956,3489.06,93057,118,120,92526,91861,69383,63178,75652
4458,38,115,2740,1718,5.86864e+18,61.651,575.947,4458,50,52,4184,3953,1463,1779,1492
88135,1123,5541,55519,32616,5.82805e+18,349.62,11332.7,88135,349,265,82504,79619,20685,43326,8937
8560,122,225,5336,3224,5.87287e+18,80.0421,1012.35,8560,73,74,8303,8160,7032,7131,6846
94462,68,229,58278,36184,5.87028e+18,140.682,3193.82,94462,92,97,93546,92403,34571,37190,41299
38888,145,199,23988,14900,5.86996e+18,101.523,1991.31,38888,83,90,38689,38635,31200,33503,29768
27443,56,217,16975,10468,5.87098e+18,164.536,1613.77,27443,87,95,26561,25936,7320,10443,10723
95520,142,307,59476,36044,5.88464e+18,246.42,4052.03,95520,202,200,93450,90903,50971,46654,53064
22485,17,134,13913,8572,5.86981e+18,67.6696,1382.28,22485,72,75,15236,9286,3259,4613,4233
