"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
97840,3292,9779,83200,14640,4.21138e+13,17.6101,10993.1,97840,4892,4887,88061,88060,49165,71850,68622
6066,449,669,3923,2143,2.9512e+13,299.059,1552.95,6066,245,134,5397,5092,5084,4867,4487
90797,3146,3196,59149,31648,3.3661e+13,750.083,10061.8,90797,712,389,87601,87601,87574,87513,87170
37315,1822,3735,27321,9994,6.77312e+13,1246.38,9120.14,37315,1203,450,33173,30928,23318,21730,24533
19028,410,2862,13855,5173,5.91693e+13,1154.08,6001.54,19028,836,235,14552,13443,6910,5964,3900
13706,698,1357,8604,5102,3.11983e+13,244.84,3050.64,13706,292,186,12349,12325,10953,9756,7715
72569,1279,2719,45887,26682,2.98895e+13,638.721,8871.44,72569,575,420,69850,69652,61836,51851,44107
41613,1892,3242,29619,11994,5.76339e+13,1555.13,9340.19,41613,1418,272,38093,34896,28949,29333,29716
71274,483,3650,45115,26159,2.98837e+13,599.615,10187.8,71274,1083,329,66548,62911,49417,32072,24609
26087,411,1786,17347,8740,4.02826e+13,439.267,4523.9,26087,403,233,23874,22193,18955,4050,3250
74074,2168,4044,50414,23660,3.1702e+13,1037.37,12574.1,74074,1167,340,70030,69654,67528,67136,48427
55892,1649,3537,39909,15983,4.04913e+13,1068.7,11111.8,55892,1091,353,52191,50672,46355,45004,36847
23541,2400,11829,18437,5104,1.20498e+11,442.008,15829.6,23541,2090,29,11712,10910,10766,3624,731
56728,202,2046,36637,20091,2.96862e+13,550.029,6914.66,56728,543,361,49861,46216,41058,36816,11188
28763,757,3345,19591,9172,4.92026e+13,589.278,7339.98,28763,906,392,25129,24546,16792,6535,4439
36908,2077,3078,26516,10392,5.80181e+13,1439.52,8794.25,36908,1155,323,33696,31455,25232,26678,27003
21370,197,1526,13272,8098,3.12014e+13,285.739,3809.33,21370,327,218,19142,17504,14374,8353,5372
65028,1017,2652,42588,22440,3.52311e+13,570.426,7497.4,65028,608,326,62376,62300,54191,10477,13632
42160,3693,3828,30413,11747,6.30389e+13,1247.51,9871.87,42160,1291,450,38332,38330,38191,37830,37127
75200,1158,2819,48221,26979,2.98659e+13,615.985,9017.51,75200,670,423,72381,72251,65547,61857,48587
80427,1463,2893,51312,29115,2.98102e+13,669.535,9423.96,80427,647,439,77534,77374,71244,64080,53304
56455,1807,3574,36331,20124,2.90596e+13,535.55,9348.32,56455,1194,247,52881,52840,52012,52327,31705
32816,1852,2486,21591,11225,2.85731e+13,468.701,6445.94,32816,947,197,30330,30330,29901,29005,26174
52405,2013,3437,36561,15844,2.79577e+13,770.91,9459.94,52405,920,281,48968,48873,47730,48535,36004
18138,684,883,11729,6409,2.92827e+13,448.908,2776.89,18138,331,197,17255,17159,16611,16347,16294
5768,1048,1385,4355,1413,8.27587e+13,158.011,2293.88,5768,233,125,4383,4383,4376,4383,4052
59989,3621,3971,42262,17727,5.38316e+13,1322.5,11680.3,59989,1515,459,56018,56015,55356,53886,48952
37741,1606,3637,27039,10702,5.99721e+13,1158.26,9030.76,37741,1234,445,33686,31709,21977,18730,19409
74585,1522,4229,51942,22643,3.71239e+13,1211.66,13405.9,74585,1231,411,69919,67673,60595,52562,33344
49426,418,3324,35270,14156,5.19825e+13,1428.81,10354.1,49426,1407,340,40417,37813,24789,21776,10674
91775,16637,24266,75323,16452,2.57552e+13,5325.4,39608.3,91775,8451,26,67509,67509,61762,61663,55798
88161,1350,3956,58034,30127,2.9736e+13,749.934,12664,88161,1255,405,84205,83461,68696,59978,34497
37542,1200,3021,25240,12302,4.11492e+13,597.581,6963.21,37542,761,323,34521,34208,25479,6214,5166
83422,269,4131,55197,28225,2.92745e+13,790.058,12561.9,83422,1245,367,75127,70401,47409,16761,7940
28841,519,1729,17478,11363,3.14819e+13,315.488,4320.56,28841,358,236,27112,26915,20077,10145,7954
62440,3504,3914,43709,18731,5.21504e+13,1236.78,11576.4,62440,1401,460,58526,58420,57326,51096,45632
15405,956,2435,11603,3802,6.9658e+13,595.137,5003.18,15405,636,223,12827,12277,10182,9364,8489
93252,1158,4252,60720,32532,2.96131e+13,821.566,13401.4,93252,1268,429,88924,87769,70380,46269,33735
30734,300,2388,21310,9424,2.72145e+13,564.028,6387.01,30734,846,236,26189,24154,16162,8551,3863
32688,677,1861,19588,13100,3.15928e+13,350.225,4611.59,32688,410,244,30827,30688,22886,10680,8009
86683,767,4032,57395,29288,3.86842e+13,1163.94,12056.2,86683,1115,431,81320,80138,63097,12032,16136
14177,2390,2645,10058,4119,6.36708e+13,514.228,4945.99,14177,639,359,11532,11497,10724,11146,10395
50184,2289,3038,31947,18237,2.94423e+13,480.893,7995.5,50184,1176,207,47146,47143,46773,47090,41291
46877,2523,2775,32708,14169,2.87527e+13,577.577,8003.07,46877,900,277,44102,44102,44075,44102,41492
84493,1229,4252,60360,24133,4.25114e+13,1593.27,14674,84493,1590,439,78028,73813,57360,49444,30066
50236,769,1380,32432,17804,2.91353e+13,576.847,5026.61,50236,496,303,48856,48647,44937,43169,39843
45274,746,1958,29185,16089,2.97426e+13,546.099,6244.84,45274,483,334,43316,42771,38590,38368,27618
80634,1078,4275,56863,23771,3.89332e+13,1322.57,14154.2,80634,1403,428,74240,70705,53028,43778,16889
83614,1204,2762,53650,29964,3.00377e+13,647.652,9355.38,83614,653,421,80852,80703,73893,68688,55569
34940,835,2447,24592,10348,2.76871e+13,580.763,6796.03,34940,848,260,32283,31667,21811,15936,7216
10161,118,770,6520,3641,2.89201e+13,358.219,2042.25,10161,250,171,8451,7790,6775,5713,1242
86917,3399,4260,60502,26415,4.77726e+13,1336.48,14689.7,86917,1808,529,82657,82492,78181,57076,63245
65079,2413,3977,45938,19141,3.51934e+13,1066.68,12151.5,65079,1065,394,61102,60933,57938,57022,47691
69044,4205,6909,58709,10335,4.21231e+13,17.0444,7925.74,69044,3457,3452,62135,62135,45945,55385,53202
4001,791,1496,3015,986,3.71121e+13,131.542,2191.57,4001,414,100,2505,2501,2110,2204,1813
18287,911,2085,11841,6446,2.65183e+13,289.983,4436.79,18287,675,155,16202,16191,14086,14468,8753
80772,444,4092,51466,29306,2.95255e+13,719.502,11930.2,80772,1191,396,74763,70535,53798,36635,13580
13733,533,1208,8761,4972,3.0402e+13,280.21,2905.31,13733,302,192,12525,12454,11566,10514,9424
70335,2021,2712,44192,26143,3.01571e+13,629.699,8664.52,70335,545,415,67623,67501,62896,63827,55064
25865,1085,1566,18618,7247,2.62074e+13,621.269,5058.84,25865,751,195,24299,23722,23632,23663,20225
72948,1846,4112,50907,22041,5.15905e+13,1375.04,13211,72948,1708,516,68246,63958,49804,34805,35861
15083,813,1745,9959,5124,2.41949e+13,295.517,3784.73,15083,583,153,13338,13309,11133,11696,6589
10646,464,2292,7954,2692,7.32062e+13,273.607,3829.74,10646,413,302,8354,7934,2779,2123,1110
35691,1228,1879,21976,13715,3.1174e+13,402.245,5161.95,35691,378,278,33812,33806,29710,30113,22336
8929,34,348,6035,2894,3.31145e+13,254.999,1512.36,8929,215,117,3462,1693,1583,1941,1435
56502,2908,3042,38006,18496,2.937e+13,598.545,8869.75,56502,1054,272,53460,53378,53454,53460,52071
39495,974,1736,25384,14111,2.907e+13,520.046,5364.73,39495,483,289,37759,37677,36651,36042,32763
79205,2690,3510,49319,29886,3.02401e+13,880.716,10187.7,79205,681,447,75695,75517,75597,75669,74352
94831,584,4443,65205,29626,3.81376e+13,1323.15,15186.2,94831,1441,430,85155,80602,55414,34902,21874
56883,795,2043,36670,20213,2.96523e+13,557.7,6677.43,56883,570,337,54840,54582,48866,49408,40843
11810,562,791,7606,4204,2.85881e+13,415.965,2210.77,11810,312,173,11016,10461,10435,10075,9424
28904,830,1656,18629,10275,2.95166e+13,496.8,4838.31,28904,473,283,27248,26957,24932,24384,17360
53932,1942,3052,38955,14977,4.7997e+13,1272.73,10617.9,53932,1174,348,50550,48386,42237,43256,39616
67294,169,2220,43364,23930,2.93354e+13,577.023,7584.81,67294,568,370,58212,54573,47231,39438,8142
22063,864,980,14135,7928,2.92278e+13,511.396,3194.56,22063,393,223,21083,21082,20858,20828,20821
3419,856,916,2492,927,7.66824e+13,104.56,1479.19,3419,141,100,2503,2501,2501,2503,2365
85441,1494,2530,55130,30311,2.97643e+13,605.118,8779.11,85441,664,394,82911,82894,79111,78042,65221
38188,1190,3573,26954,11234,5.53638e+13,1049.6,8950.69,38188,1155,414,33848,32145,21261,13070,12128
71289,2852,3586,46933,24356,3.69303e+13,842.004,9971.14,71289,992,395,67703,67696,63937,50608,30637
77010,2828,4072,51063,25947,2.91883e+13,805.234,11895.1,77010,1228,329,72938,72637,72723,72564,59364
7559,619,665,4856,2703,2.79649e+13,306.22,1689.14,7559,225,151,6894,6891,6838,6812,6808
47284,1008,3056,33175,14109,2.80716e+13,658.131,8421.6,47284,878,276,44102,43125,33870,27299,10883
82129,2518,3891,56493,25636,4.66537e+13,1269.72,12688.3,82129,1443,480,78238,76811,68761,35903,49543
18797,230,1484,13571,5226,2.79866e+13,642.287,4344.47,18797,548,184,15932,14659,8343,3133,4813
60270,2045,3780,41533,18737,4.92112e+13,1143.45,10856.8,60270,1354,458,56379,53930,43413,23112,28878
69450,750,3451,45723,23727,3.54238e+13,958.514,9255.42,69450,800,333,65509,64845,50778,7316,6124
75299,3179,7534,64027,11272,4.213e+13,17.041,8596.14,75299,3769,3765,67765,67765,41665,56886,52501
26048,841,2889,19086,6962,6.51693e+13,1118.59,6894.85,26048,992,257,22044,20733,15347,13149,11193
23723,891,991,15291,8432,2.93423e+13,503.236,3305.75,23723,391,227,22732,22732,22551,22551,22495
