"data_size","cache_size","unique_size","reads","writes","avg_step","avg_reuse_dist","sum_sqrt_count","sum_count","lis","lds","belady","lru","pivot","ld","mru"
24122,2124,7008,15401,8721,9.20238e+12,59.0466,8741.32,24122,3414,72,17114,17114,11321,11187,4331
87267,22246,26218,55540,31727,9.03643e+12,59.0579,31163.3,87267,12767,72,61049,61049,55268,55152,48300
56526,10434,13131,36657,19869,9.92571e+12,60.1144,16832,56526,6396,72,43395,43395,39511,35849,34893
76272,5232,17694,49464,26808,9.91487e+12,60.1252,22467.3,76272,8611,72,58578,58578,40426,40062,18095
31058,11273,12329,19253,11805,7.78752e+12,57.4107,14196.1,31058,6000,72,18729,18729,17697,16761,16623
77774,12838,18095,50423,27351,9.9131e+12,60.1319,22945.1,77774,8810,72,59679,59679,51993,51842,42667
13415,1128,6164,8168,5247,6.9837e+12,56.143,7060.2,13415,2988,72,7251,7251,4414,2547,2129
68790,17596,22007,43544,25246,8.78967e+12,58.7324,25953.1,68790,10714,72,46783,46783,45121,42822,42513
42246,2738,12997,26838,15408,8.95024e+12,58.8939,15672.7,42246,6327,72,29249,29249,19239,7416,7118
36462,9040,9533,23473,12989,9.54489e+12,59.4776,12033,36462,4623,72,26929,26929,26349,25747,25816
3124,33,775,2031,1093,9.81525e+12,58.3009,1167.42,3124,368,62,1662,324,588,672,90
72717,8448,16895,47166,25551,9.90777e+12,60.1201,21478.6,72717,8221,72,55822,55822,43516,43271,28444
76300,21402,21789,48755,27545,9.23038e+12,59.2902,26278.6,76300,10615,72,54511,54511,54250,54003,54143
99184,35949,44056,60606,38578,7.17804e+12,56.611,48593,99184,21441,72,55128,55128,51723,47850,47780
94568,35802,36922,58686,35882,7.87657e+12,57.6272,41626.7,94568,17984,72,57646,57646,56783,55974,55986
38974,2058,9075,25278,13696,9.92016e+12,60.0512,11794.2,38974,4417,72,29899,29899,15030,15168,7272
49498,14878,17414,31068,18430,8.3731e+12,50.9186,20298.5,49498,8462,72,32084,32084,32084,32084,32084
96605,5648,31602,61026,35579,8.69193e+12,58.6374,36818.6,96605,15389,72,65003,65003,41838,27234,13540
43482,8854,10089,28201,15281,9.94253e+12,60.0842,13064.8,43482,4915,72,33393,33393,31880,29896,29510
67863,23589,24388,42481,25382,8.28225e+12,57.9367,28099.8,67863,11874,72,43475,43475,42496,41249,41027
89239,971,35482,55259,33980,7.78701e+12,57.5194,39918.5,89239,17285,72,53757,53523,30751,16297,2816
7754,1343,1835,5040,2714,9.90344e+12,59.4466,2604.16,7754,888,72,5919,5919,5323,5188,4497
62856,5525,32452,49169,13687,7.9169e+10,8.99771,32962.5,62856,29203,11,30404,30404,11284,13168,9413
57304,7191,19328,36104,21200,8.56015e+12,58.4431,22645.2,57304,9409,72,37976,37928,26365,24753,23138
48931,1105,17035,30733,18198,8.42367e+12,57.7148,19908.7,48931,8279,72,31896,31896,17260,6588,3274
10680,405,3313,6794,3886,8.93116e+12,58.482,4220.97,10680,1606,72,7367,7319,4629,4549,1441
8592,488,2480,5497,3095,9.21863e+12,58.6754,3266.2,8592,1202,72,6112,6064,2866,1826,1662
25496,2286,9742,15860,9636,8.0162e+12,57.5069,11369.4,25496,4740,72,15754,15754,8109,5477,4118
27250,7161,8492,17287,9963,8.91702e+12,58.7824,10360.3,27250,4136,72,18758,18758,17828,17582,16465
30542,4865,7144,19799,10743,9.90785e+12,60.0068,9373.2,30542,3474,72,23398,23398,20697,17090,16291
82843,5963,24519,52788,30055,9.09756e+12,59.1241,29271.8,82843,11945,72,58324,58324,31700,20860,15707
84206,22152,25821,53508,30698,8.96039e+12,56.4507,30579.9,84206,12563,72,58385,58385,58385,58385,58385
56239,2238,13079,36481,19758,9.91089e+12,60.0981,16768.7,56239,6363,72,43160,43160,27403,27081,8050
